time_s,max_queue_bytes
0.110276,399392
0.110284,399392
0.110292,367524
0.1103,309428
0.110308,237468
0.110316,266252
0.110324,273826
0.110332,275882
0.11034,278966
0.110348,279616
0.110357,278588
0.110365,277560
0.110373,273448
0.110381,258028
0.110389,265224
0.110397,262468
0.110405,270692
0.110413,277888
0.110421,286812
0.110429,329988
0.110438,378304
0.110446,385500
0.110454,387556
0.110462,365968
0.11047,322792
0.110478,281672
0.110486,242008
0.110494,203972
0.110502,158312
0.11051,101172
0.110518,70610
0.110527,44204
0.110535,34952
0.110543,12336
0.110551,1028
0.110559,1028
0.110567,1028
0.110575,1028
0.110583,17476
0.110591,17476
0.110599,55512
0.110608,101372
0.110616,140336
0.110624,137252
0.110632,83268
0.11064,84296
0.110648,142892
0.110656,226888
0.110664,267280
0.110672,295036
0.11068,326904
0.110689,392696
0.110697,399892
0.110705,399892
0.110713,399892
0.110721,399892
0.110729,399892
0.110737,399892
0.110745,399892
0.110753,399892
0.110761,399892
0.110769,399892
0.110778,399892
0.110786,399892
0.110794,399892
0.110802,399892
0.11081,399892
0.110818,399892
0.110826,399892
0.110834,399892
0.110842,399892
0.11085,399892
0.110859,399892
0.110867,399892
0.110875,399892
0.110883,334100
0.110891,244664
0.110899,155228
0.110907,69904
0.110915,47288
0.110923,87380
0.110931,160368
0.110939,216908
0.110948,246720
0.110956,255972
0.110964,240552
0.110972,215880
0.11098,188124
0.110988,180928
0.110996,260712
0.111004,347064
0.111012,399892
0.11102,399892
0.111029,399892
0.111037,399892
0.111045,399892
0.111053,399892
0.111061,399892
0.111069,381388
0.111077,374192
0.111085,363912
0.111093,351576
0.111101,340796
0.11111,329488
0.111118,318180
0.111126,298648
0.111134,264196
0.111142,230500
0.11115,240080
0.111158,211296
0.111166,258756
0.111174,324548
0.111182,345408
0.11119,376248
0.111199,399892
0.111207,399892
0.111215,390640
0.111223,355688
0.111231,322792
0.111239,321764
0.111247,337184
0.111255,352604
0.111263,369052
0.111271,384472
0.11128,399892
0.111288,399892
0.111296,399892
0.111304,399892
0.111312,399892
0.11132,399492
0.111328,399492
0.111336,399492
0.111344,399892
0.111352,399892
0.11136,399892
0.111369,399892
0.111377,399892
0.111385,399892
0.111393,364540
0.111401,305944
0.111409,242208
0.111417,233356
0.111425,233684
0.111433,214152
0.111441,169948
0.11145,215880
0.111458,284756
0.111466,341296
0.111474,390640
0.111482,399892
0.11149,399892
0.111498,399492
0.111506,399492
0.111514,399492
0.111522,399892
0.11153,399892
0.111539,399892
0.111547,399892
0.111555,399892
0.111563,399892
0.111571,399592
0.111579,399592
0.111587,399592
0.111595,399892
0.111603,399892
0.111611,399670
0.11162,399670
0.111628,399670
0.111636,399998
0.111644,399192
0.111652,399192
0.11166,386856
0.111668,342252
0.111676,357744
0.111684,397836
0.111692,399892
0.111701,399892
0.111709,399892
0.111717,399892
0.111725,399892
0.111733,399892
0.111741,399892
0.111749,399770
0.111757,399770
0.111765,399770
0.111773,399892
0.111781,399892
0.11179,399892
0.111798,397836
0.111806,391668
0.111814,376248
0.111822,324848
0.11183,276532
0.111838,227188
0.111846,188124
0.111854,175788
0.111862,213824
0.111871,249804
0.111879,273448
0.111887,250832
0.111895,227188
0.111903,274476
0.111911,298648
0.111919,322292
0.111927,339468
0.111935,356416
0.111943,358472
0.111951,311184
0.11196,263168
0.111968,224832
0.111976,188852
0.111984,151116
0.111992,139808
0.112,102800
0.112008,67848
0.112016,47288
0.112024,65792
0.112032,95604
0.112041,123360
0.112049,196348
0.112057,210740
0.112065,252888
0.112073,275504
0.112081,266252
0.112089,238496
0.112097,201488
0.112105,232328
0.112113,266880
0.112122,301832
0.11213,336156
0.112138,335128
